export_value,balance_value
0,-5348
30,-7474
3,-17405
845978,-149657
40956,-555324
0,-15669
27,-51749
4813,-98825
0,-3650
5856,-96623
407,-9200
47519,-355392
0,-762
0,-4179
25010,-901712
79,-2944
7,7
30693,-82211
4421,-148465
8,-33631
0,-4576
0,-57929
0,-5377
7205,-213082
32,-1608
0,-20179
267,-1126
689,-48604
200999,-691167
0,-23666
7,-118928
0,-974
0,-13118
71,-748373
0,-1202
0,-5924
36,-4036
0,-459
0,-191
0,-2172
0,-1803
31,-46626
0,-24691
15,-7838
0,-460
0,292
41297,-48016
7544,-28605
506958,513522
2494,18243
0,-4920
746,-146917
0,-68156
0,-2949
8060,-2233
2633,-15299
7978,-20804
0,-2162
0,-580
0,-1877
6,-10537
28,-19433
0,280
0,-65803
95,-78743
28346,89656
0,-15881
0,-497
0,-74
0,-24715
0,-7651
623,-36021
0,-18739
0,-6533
0,-838
0,-9370
769,-58698
0,-5742
151,-44221
0,-8805
0,-12779
1372,-149821
953,-125285
0,-33712
112,-38263
358,-22405
0,-52718
20922,-11384
2984,-20521
1612,-169740
0,-130734
0,-2254
0,-17586
0,-5614
0,-224600
0,-9452
0,-4274
1270,-58594
2657,-312901
17937,-215015
489833,504805
200109,181198
3558,-6479
1856,-10209
1818,-18868
216428,214954
292512,283884
11132,4258
3502,-44110
1789,-24028
306,-6454
2515,-22781
47929,31373
5052,-126208
94,-6427
157166,-346091
43127,42523
743,-126565
0,111
52,-21464
0,-10
551500,478451
241551,-280392
59700,-258181
0,-944825
3033,-189538
0,5374
0,-266516
319,-51715
0,-24685
0,-4357
0,1273
0,-142957
0,656
0,-147
0,-16857
2161,-17171
0,-1411
718,-10681
171,-79865
222587,-108920
0,-3028
2543,-13081
173840,-5314
3951,-53211
0,-426
91155,-570574
0,-644532
16644,-57502
35831,-436226
1085,83653
0,-61506
18,-13179
0,-6530
0,-20274
1073,-46076
0,-38447
0,-4054
0,-3125
933,-1021239
221,-367658
705,-3193
0,-1794
472,43982
484349,-2233349
375396,-100659
15750,10716
7318,-37336
2586,-19973
4299,2797
8064,-37339
21846,18716
15280,-24534
695023,201324
41750,-306347
902,-35862
18284,-96110
2380,-14274
271209,-54359
0,-89802
107626,-342214
0,-399652
0,-677905
0,-750043
0,-214245
0,-247
227,-376
0,-8
0,-7871
0,-18414
0,-14524
507,-700
0,-276534
0,88
1781,-44564
0,-249354
0,-46955
0,-23452
0,-99986
0,-109358
0,-10066
0,-265
0,-872793
1331,-31973
0,-1088
13790,13504
856,-1582
0,-15013
21325,-119381
1663,-1544
324,2529
0,617
0,-2846
0,-2445
336433,130415
0,-742
0,-2603
0,-18
0,-6343
0,-2154
680,-2587
0,-525
0,-2029
781310,797179
0,-1598
1035,-14395
0,-147954
2439,-77115
46514,24852
2,-19011
40627,6229
3717,-42000
367,-20684
1999,-354641
149,7605
0,35408
0,1221
0,7031
451,-62377
1840229,3064478
29,-2205
0,1454
842,14205
242,-12779
0,-5
5012,1567
38,2127
10,8415
0,22573
0,483
0,-664
20242,33445
1727,35923
621,-138713
10,-73785
67,-27951
33,-8922
